SLUG,WEBSITE,ECOMMERCE,CHANNEL
samsungoficial-ecommerce,https://shop.samsung.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
leeloo-ecommerce,https://leeloo.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
lineaestetica-ecommerce,https://lineaestetica.co/,CUSTOM/WORDPRESS,E_COMMERCE_MAGENTO
bellapiel-ecommerce,https://www.bellapiel.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
dermatologiafrancesa-ecommerce,https://dermatologiafrancesa.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
motomellos-ecommerce,https://motomellos.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
dermahemp-ecommerce,https://dermahemp.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
ktacheplussize-ecommerce,https://ktache.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
purpuramakeup-ecommerce,https://purpuremakeup.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
babuchis-ecommerce,https://babuchis.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
talulah-ecommerce,https://talulah.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
clvssicvintagestreetwear-ecommerce,https://clvssic.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
wuilpy-ecommerce,https://wuilpy.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
newbalance-ecommerce,https://www.newbalance.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
modadexter-ecommerce,https://modadexter.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
buhonights-ecommerce,https://www.buhonights.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
onebikeone-ecommerce,https://onebikeone.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
gorah-ecommerce,https://gorah.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
linamarintrademark-ecommerce,https://linamarintrademark.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
debebes-ecommerce,https://www.tiendadebebes.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
victa-ecommerce,https://victashop.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
smeraldaswimwear-ecommerce,https://smeraldasw.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
